Name,Phone,Email,Location,Subjects,Grade_Level,Tutoring_Approach,Rates_Per_Hour,Mode_of_Tutoring,Experience_Years,Education
Chaitali Reddy,9553423640,chaitali.reddy@gmail.com,Bolangir,Moral Science,Only 9th-10th CHSE & CBSE,Interactive and student-centered,366,In-person,12,B.Ed
Yogesh Basu,7509964255,yogesh.basu@gmail.com,Bargarh,Moral Science,Class 11-12 all,Interactive and student-centered,991,Online,3,PhD
Amrita Rout,9281336921,amrita.rout@gmail.com,Nayagarh,Art and Craft,Only 9th-10th CBSE,Interactive and student-centered,836,In-person,15,M.Sc
Geeta Rout,7180349652,geeta.rout@gmail.com,Bargarh,Economics,Class 6-10 CHSE & CBSE,Interactive and student-centered,454,In-person,3,M.A
Sagar Nayak,7797195833,sagar.nayak@gmail.com,Cuttack,Music,Only 9th-10th CHSE,Interactive and student-centered,498,Online,10,PhD
Hari Patnaik,9856210786,hari.patnaik@gmail.com,Nayagarh,Mathematics,Class 11-12 CBSE,Interactive and student-centered,542,Both,2,PhD
Parul Khatua,7525209399,parul.khatua@gmail.com,Mayurbhanj,Physics,Only 9th-10th ICSE,Interactive and student-centered,723,Both,9,B.Ed
Soumya Pati,9420441551,soumya.pati@gmail.com,Koraput,Music,Class 11-12 CBSE,Interactive and student-centered,813,In-person,17,B.Ed
Anurag Bhanja,7250839270,anurag.bhanja@gmail.com,Sambalpur,Statistics,Only 9th-10th CHSE,Interactive and student-centered,444,Both,18,M.Sc
Saanvi Tripathy,9773073171,saanvi.tripathy@gmail.com,Keonjhar,Economics,Only 9th-10th ICSE,Interactive and student-centered,888,Online,1,PhD
Santosh Das,9357804152,santosh.das@gmail.com,Sundargarh,Computer Science,Class 11-12 ICSE,Interactive and student-centered,553,Both,7,M.Sc
Tanvi Rai,9817228796,tanvi.rai@gmail.com,Puri,Economics,Class 6-10 CBSE,Interactive and student-centered,906,In-person,20,B.Ed
Aditi Nanda,9292121140,aditi.nanda@gmail.com,Cuttack,General Science,Class 11-12 CHSE & CBSE,Interactive and student-centered,858,Online,19,M.A
Preeti Bikash,9725612599,preeti.bikash@gmail.com,Jagatsinghpur,Environmental Studies,Class 6-10 CBSE,Interactive and student-centered,458,Online,5,M.Sc
Rohit Rath,8611968899,rohit.rath@gmail.com,Mayurbhanj,Mathematics,Class 1-5 CHSE,Interactive and student-centered,469,Online,20,M.A
Pranav Rout,7317562780,pranav.rout@gmail.com,Nuapada,History,Only 9th-10th ICSE,Interactive and student-centered,497,In-person,3,B.Sc
Mithun Rai,7285350816,mithun.rai@gmail.com,Dhenkanal,General Science,Class 1-5 all,Interactive and student-centered,913,In-person,4,M.A
Kunal Bhatia,7697358958,kunal.bhatia@gmail.com,Angul,History,Class 11-12 all,Interactive and student-centered,858,In-person,16,B.Sc
Jaya Mohapatra,9278839596,jaya.mohapatra@gmail.com,Nabarangpur,Computer Science,Class 11-12 CHSE,Interactive and student-centered,770,Online,2,M.A
Sonali Srinivas,7670450166,sonali.srinivas@gmail.com,Ganjam,English,Class 11-12 ICSE,Interactive and student-centered,837,Both,11,M.Sc
Sakshi Mahapatra,8689708529,sakshi.mahapatra@gmail.com,Sundargarh,Accountancy,Class 11-12 ICSE,Interactive and student-centered,917,Online,6,B.Sc
Nidhi Rout,8668860976,nidhi.rout@gmail.com,Nayagarh,Music,Only 9th-10th ICSE,Interactive and student-centered,850,In-person,13,M.A
Alisha Pattanaik,9378207928,alisha.pattanaik@gmail.com,Koraput,Business Studies,Class 11-12 all,Interactive and student-centered,679,Both,1,PhD
Shreya Rout,8695244744,shreya.rout@gmail.com,Sambalpur,Business Studies,Class 11-12 CHSE & CBSE,Interactive and student-centered,395,Both,18,M.Sc
Rakesh Samantray,7932504872,rakesh.samantray@gmail.com,Ganjam,English,Class 1-5 CHSE,Interactive and student-centered,705,In-person,19,B.Sc
Bhavya Khatua,7291568154,bhavya.khatua@gmail.com,Bargarh,General Science,Only 9th-10th all,Interactive and student-centered,880,In-person,7,B.Sc
Varun Dash,8560481262,varun.dash@gmail.com,Dhenkanal,Environmental Studies,Class 1-5 all,Interactive and student-centered,751,In-person,10,M.A
Ruchi Pradhan,7144028072,ruchi.pradhan@gmail.com,Jagatsinghpur,Social Studies,Class 1-5 ICSE,Interactive and student-centered,853,Both,17,B.Ed
Anushka Pratap,7212715879,anushka.pratap@gmail.com,Sambalpur,Psychology,Class 6-10 CHSE,Interactive and student-centered,657,Online,9,PhD
Kritika Pradhan,8780010208,kritika.pradhan@gmail.com,Kalahandi,Informatics Practices,Only 9th-10th CBSE,Interactive and student-centered,842,In-person,16,B.Sc
Aman Das,8763889200,aman.das@gmail.com,Malkangiri,Chemistry,Class 6-10 ICSE,Interactive and student-centered,519,In-person,13,M.Sc
Rani Bhol,8451233876,rani.bhol@gmail.com,Khurda,Moral Science,Only 9th-10th CHSE,Interactive and student-centered,933,Online,18,B.Sc
Parth Choudhury,8797070630,parth.choudhury@gmail.com,Balasore,Hindi,Only 9th-10th ICSE,Interactive and student-centered,887,In-person,5,PhD
Parul Kumar,9501408363,parul.kumar@gmail.com,Bargarh,Biology,Class 1-5 all,Interactive and student-centered,831,Online,3,B.Sc
Sandeep Barik,7433583155,sandeep.barik@gmail.com,Dhenkanal,Geography,Class 6-10 all,Interactive and student-centered,984,Online,11,B.Sc
Sunil Thakur,7863045958,sunil.thakur@gmail.com,Kendrapara,Accountancy,Class 11-12 all,Interactive and student-centered,462,Online,19,PhD
Neeraj Das,8944265443,neeraj.das@gmail.com,Mayurbhanj,Dance,Only 9th-10th ICSE,Interactive and student-centered,560,Online,17,B.Sc
Seema Nayak,9235065743,seema.nayak@gmail.com,Puri,Mathematics,Only 9th-10th all,Interactive and student-centered,925,Both,8,M.A
Tanvi Mahajan,9540923096,tanvi.mahajan@gmail.com,Kandhamal,Environmental Studies,Class 6-10 CHSE,Interactive and student-centered,740,In-person,14,PhD
Saurav Bardhan,8388921734,saurav.bardhan@gmail.com,Khurda,Art and Craft,Class 6-10 all,Interactive and student-centered,674,Both,1,M.Sc
Nidhi Nayak,8387834107,nidhi.nayak@gmail.com,Koraput,Psychology,Class 11-12 CBSE,Interactive and student-centered,663,Online,18,M.A
Prasoon Nayak,7206095022,prasoon.nayak@gmail.com,Bhadrak,Geography,Class 6-10 CBSE,Interactive and student-centered,885,In-person,13,B.Sc
Tejashwi Jana,7447245635,tejashwi.jana@gmail.com,Jajpur,Accountancy,Only 9th-10th ICSE,Interactive and student-centered,421,Both,10,B.Sc
Reena Pratap,9974793376,reena.pratap@gmail.com,Malkangiri,Biology,Class 1-5 CHSE,Interactive and student-centered,431,Online,5,M.Sc
Rishabh Dash,9898310326,rishabh.dash@gmail.com,Sambalpur,Physical Education,Only 9th-10th CBSE,Interactive and student-centered,459,Online,2,PhD
Ashwini Swain,7882759167,ashwini.swain@gmail.com,Kandhamal,Business Studies,Class 6-10 CHSE,Interactive and student-centered,855,Online,20,B.Sc
Subhash Barik,7215881848,subhash.barik@gmail.com,Sundargarh,Social Studies,Class 11-12 all,Interactive and student-centered,366,In-person,3,M.Sc
Sagar Jana,8791965581,sagar.jana@gmail.com,Jajpur,Political Science,Class 11-12 all,Interactive and student-centered,887,Online,11,PhD
Ruchi Rath,7180748984,ruchi.rath@gmail.com,Nayagarh,Statistics,Class 6-10 all,Interactive and student-centered,803,In-person,1,M.Sc
Swati Swain,7195618243,swati.swain@gmail.com,Deogarh,Psychology,Class 11-12 all,Interactive and student-centered,746,Both,2,M.A
Chaitanya Mishra,7826648959,chaitanya.mishra@gmail.com,Bargarh,Social Studies,Class 1-5 all,Interactive and student-centered,710,Online,11,B.Ed
Sameer Bikash,7903525506,sameer.bikash@gmail.com,Jharsuguda,Dance,Class 6-10 ICSE,Interactive and student-centered,326,In-person,16,B.Sc
Chhavi Nanda,7212194385,chhavi.nanda@gmail.com,Jagatsinghpur,Computer Science,Class 11-12 CHSE & CBSE,Interactive and student-centered,557,In-person,19,M.Sc
Avinash Mali,8820783569,avinash.mali@gmail.com,Deogarh,Physics,Only 9th-10th CHSE & CBSE,Interactive and student-centered,699,In-person,11,M.A
Abhishek Mishra,8414903484,abhishek.mishra@gmail.com,Dhenkanal,Political Science,Class 1-5 ICSE,Interactive and student-centered,310,In-person,17,PhD
Shilpa Bhai,7910096305,shilpa.bhai@gmail.com,Jagatsinghpur,Geography,Only 9th-10th CHSE & CBSE,Interactive and student-centered,910,In-person,12,PhD
Ashwini Mahapatra,7189742450,ashwini.mahapatra@gmail.com,Khurda,Chemistry,Class 6-10 CHSE,Interactive and student-centered,516,In-person,17,M.Sc
Tejas Jena,9544629227,tejas.jena@gmail.com,Nayagarh,Accountancy,Class 6-10 CHSE,Interactive and student-centered,397,In-person,15,B.Ed
Jivika Das,9463550379,jivika.das@gmail.com,Bolangir,Accountancy,Class 6-10 CBSE,Interactive and student-centered,713,In-person,4,PhD
Daksh Panda,8620455713,daksh.panda@gmail.com,Gajapati,English,Class 1-5 CHSE,Interactive and student-centered,593,In-person,6,M.A
Sandeep Kar,7862868157,sandeep.kar@gmail.com,Jagatsinghpur,General Science,Class 1-5 CHSE & CBSE,Interactive and student-centered,311,Online,15,B.Sc
Tania Jadhav,8242635536,tania.jadhav@gmail.com,Jharsuguda,Informatics Practices,Class 11-12 CHSE,Interactive and student-centered,584,In-person,6,B.Sc
Alisha Bhoi,7212200638,alisha.bhoi@gmail.com,Balasore,Political Science,Class 11-12 ICSE,Interactive and student-centered,820,Online,6,B.Ed
Surya Jena,8240143690,surya.jena@gmail.com,Balasore,Hindi,Class 1-5 CHSE & CBSE,Interactive and student-centered,359,In-person,4,B.Sc
Aadarsh Kumar,9666984863,aadarsh.kumar@gmail.com,Cuttack,Computer Science,Class 6-10 CHSE & CBSE,Interactive and student-centered,662,Both,11,PhD
Tanvi Dharma,7614464938,tanvi.dharma@gmail.com,Bolangir,Psychology,Only 9th-10th CHSE,Interactive and student-centered,793,Both,1,M.Sc
Sandeep Rai,9562888607,sandeep.rai@gmail.com,Ganjam,Physical Education,Only 9th-10th ICSE,Interactive and student-centered,670,Both,16,M.Sc
Chandra Nayak,7258806248,chandra.nayak@gmail.com,Dhenkanal,Mathematics,Class 6-10 ICSE,Interactive and student-centered,347,In-person,6,B.Ed
Kiran Choudhury,7810975596,kiran.choudhury@gmail.com,Bargarh,Economics,Only 9th-10th CHSE & CBSE,Interactive and student-centered,841,In-person,3,B.Sc
Ganesh Dharma,8580798381,ganesh.dharma@gmail.com,Jharsuguda,Statistics,Only 9th-10th all,Interactive and student-centered,632,Both,11,B.Sc
Lavi Mohapatra,9623498845,lavi.mohapatra@gmail.com,Balasore,Music,Only 9th-10th ICSE,Interactive and student-centered,385,In-person,6,PhD
Rani Jena,8213397435,rani.jena@gmail.com,Kendrapara,History,Class 11-12 CHSE,Interactive and student-centered,867,Both,1,B.Sc
Abhinav Choudhury,8740468181,abhinav.choudhury@gmail.com,Jajpur,Social Studies,Class 6-10 CHSE,Interactive and student-centered,652,Both,10,B.Sc
Sunil Brahma,7795080352,sunil.brahma@gmail.com,Nayagarh,Social Studies,Class 1-5 CHSE & CBSE,Interactive and student-centered,553,Online,18,PhD
Indira Nayak,8171183424,indira.nayak@gmail.com,Angul,Biology,Class 6-10 ICSE,Interactive and student-centered,591,In-person,13,PhD
Shreya Rout,7756506929,shreya.rout@gmail.com,Cuttack,Statistics,Class 6-10 CHSE,Interactive and student-centered,990,Online,14,PhD
Shyam Khan,9307194590,shyam.khan@gmail.com,Rayagada,English,Class 1-5 CHSE & CBSE,Interactive and student-centered,972,Both,17,PhD
Harpreet Ray,9738194765,harpreet.ray@gmail.com,Balangir,Dance,Class 11-12 CBSE,Interactive and student-centered,852,Both,6,PhD
Saurav Pratap,9292221988,saurav.pratap@gmail.com,Dhenkanal,History,Class 1-5 all,Interactive and student-centered,820,Online,5,M.A
Arpita Jadhav,8914420659,arpita.jadhav@gmail.com,Gajapati,Economics,Class 11-12 CHSE,Interactive and student-centered,710,Both,9,B.Sc
Tarun Mohapatra,7729474264,tarun.mohapatra@gmail.com,Kalahandi,Accountancy,Only 9th-10th CBSE,Interactive and student-centered,668,Online,9,M.A
Krishna Bhowmick,9386362524,krishna.bhowmick@gmail.com,Bhadrak,Chemistry,Class 1-5 all,Interactive and student-centered,514,In-person,13,M.A
Gopal Sahu,7130741270,gopal.sahu@gmail.com,Mayurbhanj,Computer Science,Class 1-5 CHSE,Interactive and student-centered,918,Both,15,B.Sc
Uday Bansal,7984189572,uday.bansal@gmail.com,Ganjam,Mathematics,Class 1-5 CHSE & CBSE,Interactive and student-centered,957,Both,2,PhD
Uma Patra,8440781176,uma.patra@gmail.com,Keonjhar,Moral Science,Class 6-10 CHSE,Interactive and student-centered,859,Both,11,PhD
Jagruti Mahapatra,7156220387,jagruti.mahapatra@gmail.com,Bolangir,Geography,Class 6-10 CHSE & CBSE,Interactive and student-centered,565,Online,6,M.Sc
Seema Mohanty,7623570239,seema.mohanty@gmail.com,Malkangiri,Mathematics,Class 11-12 CBSE,Interactive and student-centered,635,Both,13,M.Sc
Dhara Dhar,9395224271,dhara.dhar@gmail.com,Nayagarh,Mathematics,Only 9th-10th CHSE & CBSE,Interactive and student-centered,312,In-person,18,M.A
Siddharth Rath,7750007963,siddharth.rath@gmail.com,Nayagarh,Chemistry,Only 9th-10th ICSE,Interactive and student-centered,374,In-person,11,M.Sc
Karishma Mahapatra,9626111847,karishma.mahapatra@gmail.com,Bhubaneswar,Moral Science,Class 1-5 CBSE,Interactive and student-centered,699,Online,14,B.Sc
Deepak Maheshwari,7603341740,deepak.maheshwari@gmail.com,Jajpur,Mathematics,Only 9th-10th ICSE,Interactive and student-centered,534,In-person,14,M.A
Keshav Pradhan,7364302232,keshav.pradhan@gmail.com,Angul,Mathematics,Class 6-10 ICSE,Interactive and student-centered,387,In-person,18,M.Sc
Ujjwal Bansal,9401043990,ujjwal.bansal@gmail.com,Balasore,Mathematics,Only 9th-10th ICSE,Interactive and student-centered,983,In-person,14,B.Ed
Vikas Kumar,7924497541,vikas.kumar@gmail.com,Bargarh,General Science,Only 9th-10th CHSE,Interactive and student-centered,946,Both,7,M.A
Siddharth Mohanty,8284659721,siddharth.mohanty@gmail.com,Balangir,Statistics,Class 1-5 CHSE & CBSE,Interactive and student-centered,739,Online,13,M.Sc
Kaveri Kumar,7440929831,kaveri.kumar@gmail.com,Sambalpur,Physics,Class 6-10 CHSE & CBSE,Interactive and student-centered,949,In-person,17,PhD
Jeet Mohapatra,7893342637,jeet.mohapatra@gmail.com,Mayurbhanj,Moral Science,Only 9th-10th CHSE & CBSE,Interactive and student-centered,522,Both,17,M.A
Daksh Patra,9236225002,daksh.patra@gmail.com,Khurda,Mathematics,Class 1-5 ICSE,Interactive and student-centered,816,Both,19,M.Sc
Kalyani Kumar,8591165267,kalyani.kumar@gmail.com,Khurda,Social Studies,Class 6-10 CHSE,Interactive and student-centered,366,Both,3,M.Sc
Daksh Basu,7559946391,daksh.basu@gmail.com,Rayagada,Computer Science,Class 1-5 CBSE,Interactive and student-centered,564,Online,20,M.A
Ajay Choudhury,7613331063,ajay.choudhury@gmail.com,Balasore,Informatics Practices,Only 9th-10th CHSE,Interactive and student-centered,590,Both,10,M.Sc
Nidhi Bhatia,9711529147,nidhi.bhatia@gmail.com,Sambalpur,Social Studies,Only 9th-10th CHSE & CBSE,Interactive and student-centered,632,Online,6,M.Sc
Rahul Maheshwari,9406534680,rahul.maheshwari@gmail.com,Bolangir,Music,Class 1-5 ICSE,Interactive and student-centered,777,In-person,10,PhD
Ujjwal Swain,9413703989,ujjwal.swain@gmail.com,Balasore,Economics,Class 6-10 ICSE,Interactive and student-centered,949,In-person,10,B.Ed
Varun Dash,8654272936,varun.dash@gmail.com,Sambalpur,Dance,Class 1-5 CHSE & CBSE,Interactive and student-centered,498,In-person,14,B.Sc
Bhushan Jani,8383314822,bhushan.jani@gmail.com,Koraput,Music,Class 11-12 CBSE,Interactive and student-centered,655,Both,20,M.Sc
Saket Senapati,8603074550,saket.senapati@gmail.com,Balasore,Music,Class 11-12 CBSE,Interactive and student-centered,912,Online,14,PhD
Kavita Thakur,9359763708,kavita.thakur@gmail.com,Bolangir,Geography,Class 1-5 ICSE,Interactive and student-centered,362,In-person,6,PhD
Tanisha Jena,9322535612,tanisha.jena@gmail.com,Cuttack,Sociology,Only 9th-10th CHSE & CBSE,Interactive and student-centered,571,Online,8,M.A
Shilpa Rai,8795899678,shilpa.rai@gmail.com,Kandhamal,Moral Science,Only 9th-10th CHSE & CBSE,Interactive and student-centered,673,In-person,7,M.A
Rajni Swain,8239467527,rajni.swain@gmail.com,Mayurbhanj,Hindi,Only 9th-10th CHSE & CBSE,Interactive and student-centered,939,Both,3,B.Sc
Ramya Jena,8405685366,ramya.jena@gmail.com,Cuttack,Geography,Class 1-5 CHSE,Interactive and student-centered,880,In-person,19,M.A
Amrita Dharma,8957878339,amrita.dharma@gmail.com,Deogarh,Computer Science,Class 6-10 CBSE,Interactive and student-centered,787,In-person,13,M.A
Mohini Mandal,7299661959,mohini.mandal@gmail.com,Bhadrak,Statistics,Class 6-10 ICSE,Interactive and student-centered,849,In-person,7,M.Sc
Shikha Sahu,9515338226,shikha.sahu@gmail.com,Ganjam,English,Class 11-12 ICSE,Interactive and student-centered,587,Online,6,B.Ed
Neha Barik,8119762834,neha.barik@gmail.com,Jajpur,Economics,Class 11-12 CBSE,Interactive and student-centered,735,In-person,15,B.Sc
Tarun Mali,8123630972,tarun.mali@gmail.com,Bhadrak,Environmental Studies,Class 1-5 ICSE,Interactive and student-centered,878,Both,17,M.Sc
Riddhi Thakur,9404089636,riddhi.thakur@gmail.com,Jharsuguda,Sociology,Class 11-12 CBSE,Interactive and student-centered,865,Online,10,M.A
Karthik Ghosh,7826644682,karthik.ghosh@gmail.com,Bhadrak,Sociology,Class 11-12 CHSE & CBSE,Interactive and student-centered,642,In-person,14,PhD
Ashok Bhatia,9749834964,ashok.bhatia@gmail.com,Nayagarh,Political Science,Class 6-10 CBSE,Interactive and student-centered,515,Online,16,B.Sc
Divyansh Das,7385463692,divyansh.das@gmail.com,Nabarangpur,Informatics Practices,Class 6-10 ICSE,Interactive and student-centered,501,Online,12,M.Sc
Vinita Dhar,9144154631,vinita.dhar@gmail.com,Keonjhar,Economics,Class 1-5 CHSE & CBSE,Interactive and student-centered,897,In-person,14,B.Ed
Srishti Panda,9400619792,srishti.panda@gmail.com,Jagatsinghpur,Informatics Practices,Class 6-10 CBSE,Interactive and student-centered,491,Online,19,B.Sc
Mithun Das,7409841126,mithun.das@gmail.com,Kandhamal,Sociology,Class 1-5 CHSE,Interactive and student-centered,785,Online,16,PhD
Alok Kumar,7918872450,alok.kumar@gmail.com,Malkangiri,Mathematics,Only 9th-10th ICSE,Interactive and student-centered,856,Online,6,M.A
Shailesh Tripathy,7240317914,shailesh.tripathy@gmail.com,Bolangir,Statistics,Class 11-12 all,Interactive and student-centered,326,Both,15,M.Sc
Sunita Sahu,7911570946,sunita.sahu@gmail.com,Kalahandi,Art and Craft,Class 1-5 CBSE,Interactive and student-centered,406,In-person,11,B.Ed
Uma Das,9419011963,uma.das@gmail.com,Sundargarh,Dance,Class 6-10 ICSE,Interactive and student-centered,719,Online,5,B.Ed
Jaya Panda,9200000355,jaya.panda@gmail.com,Malkangiri,Biology,Class 11-12 ICSE,Interactive and student-centered,371,In-person,18,M.A
Sameer Bhunia,7431659628,sameer.bhunia@gmail.com,Jagatsinghpur,Business Studies,Only 9th-10th CHSE & CBSE,Interactive and student-centered,722,In-person,6,B.Sc
Saroj Das,9793527524,saroj.das@gmail.com,Deogarh,Political Science,Class 6-10 ICSE,Interactive and student-centered,413,In-person,16,M.A
Neeta Sardar,7825190682,neeta.sardar@gmail.com,Bhadrak,History,Class 6-10 CHSE & CBSE,Interactive and student-centered,988,Online,9,M.A
Kriti Das,8593258956,kriti.das@gmail.com,Balangir,Psychology,Class 1-5 CHSE & CBSE,Interactive and student-centered,316,Online,20,M.A
Divya Dandapat,9105250121,divya.dandapat@gmail.com,Bhubaneswar,Biology,Class 6-10 all,Interactive and student-centered,781,Online,1,PhD
Asha Sahu,8686002083,asha.sahu@gmail.com,Cuttack,Business Studies,Class 6-10 CHSE & CBSE,Interactive and student-centered,619,Both,17,M.Sc
Raghav Maharana,8118152681,raghav.maharana@gmail.com,Kendrapara,Mathematics,Only 9th-10th ICSE,Interactive and student-centered,599,Both,4,B.Sc
Punit Samantray,9146413279,punit.samantray@gmail.com,Kendrapara,Accountancy,Only 9th-10th CBSE,Interactive and student-centered,301,Both,12,B.Sc
Vishnu Dharam,9295008507,vishnu.dharam@gmail.com,Nuapada,Political Science,Class 1-5 CBSE,Interactive and student-centered,954,Online,12,M.Sc
Saurabh Kumar,8218240172,saurabh.kumar@gmail.com,Bhadrak,Physical Education,Class 1-5 CBSE,Interactive and student-centered,908,Both,16,M.Sc
Sarita Mishra,7583953406,sarita.mishra@gmail.com,Gajapati,Hindi,Class 6-10 ICSE,Interactive and student-centered,559,Online,9,PhD
Surendra Sarangi,7603243955,surendra.sarangi@gmail.com,Gajapati,General Science,Only 9th-10th ICSE,Interactive and student-centered,447,Online,11,M.A
Amit Mohanty,7474535945,amit.mohanty@gmail.com,Nabarangpur,Physical Education,Class 11-12 all,Interactive and student-centered,747,Both,3,M.A
Rajesh Jana,9490196409,rajesh.jana@gmail.com,Bargarh,History,Class 1-5 CHSE,Interactive and student-centered,709,Online,6,B.Sc
Savita Das,9182416587,savita.das@gmail.com,Bolangir,Computer Science,Class 6-10 CHSE,Interactive and student-centered,835,Online,8,M.Sc
Tejashwi Kumar,9772091882,tejashwi.kumar@gmail.com,Kandhamal,Political Science,Class 6-10 CHSE & CBSE,Interactive and student-centered,471,In-person,9,B.Sc
Shubham Sahu,8698345958,shubham.sahu@gmail.com,Jharsuguda,Political Science,Only 9th-10th all,Interactive and student-centered,929,Online,11,M.Sc
Punit Jena,9648051538,punit.jena@gmail.com,Deogarh,Physical Education,Class 6-10 CHSE,Interactive and student-centered,885,Online,12,B.Ed
Harsha Khuntia,9713839212,harsha.khuntia@gmail.com,Mayurbhanj,Sociology,Class 11-12 CHSE & CBSE,Interactive and student-centered,411,Both,16,B.Sc
Vamshi Bhoi,8522819840,vamshi.bhoi@gmail.com,Balasore,History,Class 6-10 CBSE,Interactive and student-centered,836,Both,7,B.Ed
Akanksha Nayak,7132094517,akanksha.nayak@gmail.com,Jajpur,Biology,Class 1-5 CHSE,Interactive and student-centered,737,In-person,14,M.Sc
Nidhi Sahani,9386062119,nidhi.sahani@gmail.com,Nabarangpur,General Science,Only 9th-10th CHSE & CBSE,Interactive and student-centered,441,Online,18,PhD
Sanjeev Swarup,7882406401,sanjeev.swarup@gmail.com,Kalahandi,English,Class 6-10 CHSE,Interactive and student-centered,961,In-person,17,B.Ed
Vishakha Dash,7419110376,vishakha.dash@gmail.com,Kendrapara,English,Class 11-12 CHSE & CBSE,Interactive and student-centered,605,Online,18,M.A
Aabha Bansal,8657416035,aabha.bansal@gmail.com,Sundargarh,Informatics Practices,Class 6-10 CBSE,Interactive and student-centered,973,Online,20,M.Sc
Anjali Bhatia,7447177767,anjali.bhatia@gmail.com,Kendrapara,Music,Class 11-12 CBSE,Interactive and student-centered,910,Both,13,PhD
Deepak Basu,7983616176,deepak.basu@gmail.com,Mayurbhanj,Economics,Class 6-10 CHSE,Interactive and student-centered,645,Both,14,PhD
Prashant Nayak,8647569796,prashant.nayak@gmail.com,Kendrapara,Chemistry,Class 11-12 ICSE,Interactive and student-centered,975,Online,5,M.Sc
Mitali Dharam,9261818548,mitali.dharam@gmail.com,Dhenkanal,Statistics,Only 9th-10th CBSE,Interactive and student-centered,740,In-person,6,PhD
Hitesh Padhy,8910755124,hitesh.padhy@gmail.com,Kandhamal,Business Studies,Only 9th-10th ICSE,Interactive and student-centered,698,In-person,16,B.Ed
